cell_id,lat,lon,risk_score,rainfall_score,terrain_score,lake_proximity_score
CELL_000000,28.0821214585648,85.44197922166303,48.01680283644211,0.4613149375674425,0.06516879913673501,0.9140203483890859
CELL_000001,28.078523470479794,85.44304874793569,48.985064145384776,0.4613149375674425,0.10358922974153434,0.9046477570525666
CELL_000002,28.079425855217913,85.44303573129835,52.13769419180241,0.4613149375674425,0.19289604850727096,0.9099198396793587
CELL_000003,28.080328239831765,85.44302271405913,54.199767055478475,0.4613149375674425,0.24948615179076097,0.9151919223061508
CELL_000004,28.08123062432136,85.443009696218,53.95568915608996,0.4613149375674425,0.23741585735573711,0.9199398797595191
CELL_000005,28.082133008686686,85.44299667777493,51.773033245979136,0.4613149375674425,0.16768151687991364,0.9241945429320179
CELL_000006,28.08303539292774,85.44298365872991,57.130072110032025,0.4613149375674425,0.3257103951492729,0.9268768305842454
CELL_000007,28.07853501131995,85.44406617065667,58.94292859222718,0.4613149375674425,0.3937541750167,0.913218745182673
CELL_000008,28.079437396493727,85.44405316251695,54.5598033674186,0.4613149375674425,0.25612507065412876,0.9193540928009866
CELL_000009,28.080339781543255,85.44404015377575,60.655584673620744,0.4613149375674425,0.43351061096552074,0.9248419916756591
CELL_000010,28.08124216646853,85.44402714443302,57.97655139338506,0.4613149375674425,0.3486383022455167,0.9293433019885926
CELL_000011,28.082144551269543,85.44401413448875,48.416405460493635,0.4613149375674425,0.05773341554904681,0.9334438106983197
CELL_000012,28.08304693594629,85.44400112394294,56.83580836887451,0.4613149375674425,0.3073865680078105,0.9363727454909819
CELL_000013,28.083949320498782,85.44398811279555,53.26953051401949,0.4613149375674425,0.19802425363547604,0.9387467242176661
CELL_000014,28.084851704926997,85.44397510104656,48.85643081033863,0.4613149375674425,0.06384307075689842,0.9405349159858178
CELL_000015,28.085754089230942,85.44396208869594,50.981021872805435,0.4613149375674425,0.1263167360361749,0.9417989825805457
CELL_000016,28.08665647341062,85.4439490757437,49.56108798794169,0.4613149375674425,0.08328708699450182,0.9422306150763065
