cell_id,lat,lon,risk_score,rainfall_score,terrain_score,lake_proximity_score
CELL_000000,28.0821214585648,85.44197922166303,43.81455218128565,0.3352474179127486,0.06516879913673501,0.9140203483890859
CELL_000001,28.078523470479794,85.44304874793569,44.78281349022832,0.3352474179127486,0.10358922974153434,0.9046477570525666
CELL_000002,28.079425855217913,85.44303573129835,47.93544353664594,0.3352474179127486,0.19289604850727096,0.9099198396793587
CELL_000003,28.080328239831765,85.44302271405913,49.99751640032201,0.3352474179127486,0.24948615179076097,0.9151919223061508
CELL_000004,28.08123062432136,85.443009696218,49.75343850093349,0.3352474179127486,0.23741585735573711,0.9199398797595191
CELL_000005,28.082133008686686,85.44299667777493,47.570782590822674,0.3352474179127486,0.16768151687991364,0.9241945429320179
CELL_000006,28.08303539292774,85.44298365872991,52.92782145487557,0.3352474179127486,0.3257103951492729,0.9268768305842454
CELL_000007,28.07853501131995,85.44406617065667,54.74067793707073,0.3352474179127486,0.3937541750167,0.913218745182673
CELL_000008,28.079437396493727,85.44405316251695,50.357552712262134,0.3352474179127486,0.25612507065412876,0.9193540928009866
CELL_000009,28.080339781543255,85.44404015377575,56.453334018464275,0.3352474179127486,0.43351061096552074,0.9248419916756591
CELL_000010,28.08124216646853,85.44402714443302,53.7743007382286,0.3352474179127486,0.3486383022455167,0.9293433019885926
CELL_000011,28.082144551269543,85.44401413448875,44.21415480533717,0.3352474179127486,0.05773341554904681,0.9334438106983197
CELL_000012,28.08304693594629,85.44400112394294,52.63355771371804,0.3352474179127486,0.3073865680078105,0.9363727454909819
CELL_000013,28.083949320498782,85.44398811279555,49.067279858863024,0.3352474179127486,0.19802425363547604,0.9387467242176661
CELL_000014,28.084851704926997,85.44397510104656,44.65418015518217,0.3352474179127486,0.06384307075689842,0.9405349159858178
CELL_000015,28.085754089230942,85.44396208869594,46.77877121764897,0.3352474179127486,0.1263167360361749,0.9417989825805457
CELL_000016,28.08665647341062,85.4439490757437,45.35883733278523,0.3352474179127486,0.08328708699450182,0.9422306150763065
CELL_000017,28.087558857466025,85.44393606218978,53.162821369234194,0.3352474179127486,0.31814654950927496,0.9414906736550023
CELL_000018,28.088461241397145,85.44392304803416,51.76875117756882,0.3352474179127486,0.27768100303170445,0.9401341143826114
CELL_000019,28.08936362520399,85.44391003327685,55.310021752907524,0.3352474179127486,0.38583063563023484,0.9382225990442423
CELL_000020,28.090266008886548,85.44389701791782,48.78414949557234,0.3352474179127486,0.1927059246698525,0.9355711422845692
CELL_000021,28.077644158888784,85.4450965930201,49.20944453008582,0.3352474179127486,0.22621396639432714,0.9148219515954987
CELL_000022,28.078546544622192,85.4450835939791,54.188291112138806,0.3352474179127486,0.3683957658907559,0.9220055495606598
CELL_000023,28.079448930231354,85.44507059433704,54.102821026668714,0.3352474179127486,0.35978880838600275,0.9280484045013103
CELL_000024,28.080351315716268,85.44505759409387,51.524501995443885,0.3352474179127486,0.2768896767894764,0.9335979651610914
CELL_000025,28.081253701076935,85.44504459324959,49.150180703286914,0.3352474179127486,0.20140537485226864,0.9378526283335903
CELL_000026,28.082156086313347,85.44503159180415,50.55966634122947,0.3352474179127486,0.23928112635527465,0.9422614459688607
CELL_000027,28.083058471425506,85.44501858975755,52.65565318671531,0.3352474179127486,0.29932428960485075,0.9450978880838601
CELL_000028,28.083960856413412,85.44500558710978,48.210523611325215,0.3352474179127486,0.16368891629412674,0.9473793741328811
CELL_000029,28.084863241277052,85.4449925838608,54.16071459157631,0.3352474179127486,0.34034479214839936,0.9492292276861415
CELL_000030,28.085765626016432,85.44497958001058,54.63122826850282,0.3352474179127486,0.3531036431838035,0.9505857869585325
CELL_000031,28.086668010631545,85.4449665755591,48.54229827175718,0.3352474179127486,0.1700041107856739,0.9510174194542932
CELL_000032,28.087570395122388,85.44495357050639,51.15196204374561,0.3352474179127486,0.24906479625918507,0.9502466471404347
CELL_000033,28.088472779488963,85.44494056485236,56.40503228679582,0.3352474179127486,0.4079209701454191,0.9489825805457068
CELL_000034,28.089375163731265,85.44492755859702,54.15009506191871,0.3352474179127486,0.34233852320024666,0.9469169107445661
CELL_000035,28.090277547849286,85.44491455174034,48.057739410444825,0.3352474179127486,0.1620651559529315,0.9444196084476646
CELL_000036,28.07585091150833,85.44613998773177,45.82746689961119,0.3352474179127486,0.1321232208005755,0.9074533682750116
CELL_000037,28.07675329792529,85.44612699838937,49.42954284637651,0.3352474179127486,0.23195365089152664,0.9156852165870202
CELL_000038,28.077655684218016,85.44611400844633,51.8516520219927,0.3352474179127486,0.2968167103437644,0.9234854324032681
CELL_000039,28.07855807038651,85.44610101790262,54.23984721579912,0.3352474179127486,0.36208057139920874,0.9298674271620163
CELL_000040,28.07946045643077,85.44608802675823,52.15910453385403,0.3352474179127486,0.2938004213555316,0.9357252967473408
CELL_000041,28.080362842350787,85.44607503501311,53.89728174297312,0.3352474179127486,0.3404578387544319,0.9412131956220132
